SA;MZ
-0.5;0.970061515997892
-0.4898989898989899;0.9391151731701816
-0.4797979797979798;0.9054475658497175
-0.4696969696969697;0.8687841878028287
-0.4595959595959596;0.8288166076757362
-0.4494949494949495;0.7851974593432796
-0.4393939393939394;0.7375345664200087
-0.4292929292929293;0.6853840289484164
-0.41919191919191917;0.6282420616277461
-0.40909090909090906;0.5655353246067201
-0.398989898989899;0.49660942716358025
-0.3888888888888889;0.4207152080681869
-0.3787878787878788;0.3369922995453575
-0.3686868686868687;0.24444935863230244
-0.35858585858585856;0.14194019261656102
-0.3484848484848485;0.028134804013727095
-0.33838383838383834;-0.09851587810763487
-0.3282828282828283;-0.23982314716899733
-0.3181818181818182;-0.3979135463951424
-0.30808080808080807;-0.5752943307443975
-0.29797979797979796;-0.7749346434581779
-0.28787878787878785;-1.000366623782546
-0.2777777777777778;-1.2558118696063032
-0.2676767676767676;-1.5463402218826605
-0.25757575757575757;-1.8780697802156026
-0.24747474747474746;-2.2584194379694646
-0.23737373737373735;-2.6964279943165423
-0.22727272727272724;-3.203156804812433
-0.21717171717171713;-3.7921952422536624
-0.20707070707070707;-4.480288199968685
-0.19696969696969696;-5.288098566953836
-0.18686868686868685;-6.2410966917533655
-0.17676767676767674;-7.370516086274764
-0.16666666666666663;-8.714195494571634
-0.15656565656565652;-10.316875879209125
-0.1464646464646464;-12.229019638554421
-0.13636363636363635;-14.502291865324006
-0.12626262626262624;-17.17833134244418
-0.11616161616161613;-20.26559696209084
-0.10606060606060602;-23.698755945637977
-0.09595959595959591;-27.281810314262994
-0.0858585858585858;-30.638464611091923
-0.07575757575757575;-33.22703219743084
-0.06565656565656564;-34.47468411201709
-0.055555555555555525;-33.98725572306361
-0.045454545454545414;-31.679592637028332
-0.035353535353535304;-27.74326114699769
-0.025252525252525193;-22.557491827110404
-0.015151515151515138;-16.676202979181113
-0.0050505050505050275;-10.862389350865714
0.005050505050505083;-5.995340534233286
0.015151515151515249;-2.7451393610213546
0.025252525252525304;-1.3346404291892904
0.03535353535353536;-1.540442754405187
0.045454545454545525;-2.8802520721595593
0.05555555555555558;-4.83899324799489
0.06565656565656575;-7.006455180847478
0.0757575757575758;-9.116444303480996
0.08585858585858586;-11.027969239184872
0.09595959595959602;-12.686972193101168
0.10606060606060608;-14.090443586039578
0.11616161616161624;-15.26060662901147
0.1262626262626263;-16.229140382583076
0.13636363636363646;-17.028741180505836
0.14646464646464652;-17.68923627901822
0.15656565656565657;-18.23621240165349
0.16666666666666674;-18.690893483771273
0.1767676767676768;-19.070559152587588
0.18686868686868696;-19.38913941031467
0.19696969696969702;-19.657814183867885
0.20707070707070718;-19.88554759925635
0.21717171717171724;-20.079536435753266
0.2272727272727273;-20.245574540782002
0.23737373737373746;-20.388343625165373
0.24747474747474751;-20.51164301943324
0.2575757575757577;-20.618570325591037
0.26767676767676774;-20.711663234606807
0.2777777777777778;-20.793010921355982
0.28787878787878796;-20.864341719366372
0.297979797979798;-20.92709233193908
0.3080808080808082;-20.982462665899345
0.31818181818181823;-21.0314594501515
0.3282828282828284;-21.074931082038464
0.33838383838383845;-21.113595589381383
0.3484848484848485;-21.148063169388056
0.3585858585858587;-21.17885443817915
0.36868686868686873;-21.206415273355404
0.3787878787878789;-21.23112893884753
0.38888888888888895;-21.253326032460176
0.3989898989898991;-21.273292681525092
0.40909090909090917;-21.291277322929744
0.4191919191919192;-21.307496334425476
0.4292929292929294;-21.322138729946307
0.43939393939393945;-21.335370089194264
0.4494949494949496;-21.34733585830966
0.45959595959595967;-21.35816413201761
0.4696969696969697;-21.367968006671042
0.4797979797979799;-21.376847576903767
0.48989898989898994;-21.384891635244916
0.5;-21.39217912331809
