LSR;FX
-0.5;-5611.525325638423
-0.4898989898989899;-5620.037519934778
-0.4797979797979798;-5628.575088092512
-0.4696969696969697;-5637.120825904213
-0.4595959595959596;-5645.654697504462
-0.4494949494949495;-5654.153416240829
-0.4393939393939394;-5662.5899611291
-0.4292929292929293;-5670.933018428352
-0.41919191919191917;-5679.146336101863
-0.40909090909090906;-5687.187976860849
-0.398989898989899;-5695.009453074553
-0.3888888888888889;-5702.554724022241
-0.3787878787878788;-5709.759032708065
-0.3686868686868687;-5716.547555705974
-0.35858585858585856;-5722.833835199915
-0.3484848484848485;-5728.517957496415
-0.33838383838383834;-5733.484436793786
-0.3282828282828283;-5737.59975691178
-0.3181818181818182;-5740.709517091096
-0.30808080808080807;-5742.635121022549
-0.29797979797979796;-5743.169941247122
-0.28787878787878785;-5742.074884443336
-0.2777777777777778;-5739.073277591864
-0.2676767676767676;-5733.844991591043
-0.25757575757575757;-5726.019718969488
-0.24747474747474746;-5715.169327657965
-0.23737373737373735;-5700.799225366119
-0.22727272727272724;-5682.338690888323
-0.21717171717171713;-5659.130160597417
-0.20707070707070707;-5630.417498652278
-0.19696969696969696;-5595.33331995128
-0.18686868686868685;-5552.885454917913
-0.17676767676767674;-5501.94260060287
-0.16666666666666663;-5441.219007672189
-0.15656565656565652;-5369.257552672338
-0.1464646464646464;-5284.4094752557885
-0.13636363636363635;-5184.806996580656
-0.12626262626262624;-5068.321345944978
-0.11616161616161613;-4932.492569203658
-0.10606060606060602;-4774.408004829147
-0.09595959595959591;-4590.493261854955
-0.0858585858585858;-4376.1652721426
-0.07575757575757575;-4125.29142412422
-0.06565656565656564;-3829.430749303732
-0.055555555555555525;-3476.9719425981925
-0.045454545454545414;-3052.6614220345687
-0.035353535353535304;-2538.778104134557
-0.025252525252525193;-1920.1410176374982
-0.015151515151515138;-1194.6681925901803
-0.0050505050505050275;-386.22801010199044
0.005050505050505083;452.0292920849624
0.015151515151515249;1254.4396277363578
0.025252525252525304;1970.158781237007
0.03535353535353536;2578.1444259003424
0.045454545454545525;3082.369036609361
0.05555555555555558;3498.7530898037717
0.06565656565656575;3845.038475329569
0.0757575757575758;4136.209449890621
0.08585858585858586;4383.555006645949
0.09595959595959602;4595.233179265124
0.10606060606060608;4777.1543418724805
0.11616161616161624;4933.734893409382
0.1262626262626263;5068.42638669587
0.13636363636363646;5184.051235505618
0.14646464646464652;5283.002828171512
0.15656565656565657;5367.36047987553
0.16666666666666674;5438.954913163485
0.1767676767676768;5499.406882920722
0.18686868686868696;5550.152174241847
0.19696969696969702;5592.46015655043
0.20707070707070718;5627.449475109234
0.21717171717171724;5656.102460454161
0.2272727272727273;5679.278810106628
0.23737373737373746;5697.728626370844
0.24747474747474751;5712.104719206374
0.2575757575757577;5722.974052252689
0.26767676767676774;5730.828239536602
0.2777777777777778;5736.093047422839
0.28787878787878796;5739.136901213979
0.297979797979798;5740.2784309917415
0.3080808080808082;5739.793115404684
0.31818181818181823;5737.919096384341
0.3282828282828284;5734.862244328541
0.33838383838383845;5730.800554279838
0.3484848484848485;5725.887950893863
0.3585858585858587;5720.257574978241
0.36868686868686873;5714.024618145136
0.3787878787878789;5707.2887653959815
0.38888888888888895;5700.136298732333
0.3989898989898991;5692.641908464956
0.40909090909090917;5684.870252946193
0.4191919191919192;5676.877302061266
0.4292929292929294;5668.711495006396
0.43939393939393945;5660.414738642736
0.4494949494949496;5652.0232690106695
0.45959595959595967;5643.568395373395
0.4696969696969697;5635.07714338146
0.4797979797979799;5626.572811560887
0.48989898989898994;5618.075453277905
0.5;5609.602294579181
