LSR;FX
-0.5;-4144.452538468236
-0.4898989898989899;-4151.155146046946
-0.4797979797979798;-4157.902136211058
-0.4696969696969697;-4164.682607806925
-0.4595959595959596;-4171.483711451353
-0.4494949494949495;-4178.290351401213
-0.4393939393939394;-4185.084840411519
-0.4292929292929293;-4191.846499723894
-0.41919191919191917;-4198.551194943477
-0.40909090909090906;-4205.170796927481
-0.398989898989899;-4211.672554878598
-0.3888888888888889;-4218.018366559343
-0.3787878787878788;-4224.163927861079
-0.3686868686868687;-4230.057740806817
-0.35858585858585856;-4235.6399553671445
-0.3484848484848485;-4240.841016143845
-0.33838383838383834;-4245.580079942946
-0.3282828282828283;-4249.7631644358835
-0.3181818181818182;-4253.280981418953
-0.30808080808080807;-4256.006400570624
-0.29797979797979796;-4257.791481048517
-0.28787878787878785;-4258.46399879052
-0.2777777777777778;-4257.823387090052
-0.2676767676767676;-4255.6359971083175
-0.25757575757575757;-4251.62957379105
-0.24747474747474746;-4245.486831616518
-0.23737373737373735;-4236.838004215425
-0.22727272727272724;-4225.252232547949
-0.21717171717171713;-4210.227647833285
-0.20707070707070707;-4191.179996244024
-0.19696969696969696;-4167.429637949844
-0.18686868686868685;-4138.18672304631
-0.17676767676767674;-4102.534280334037
-0.16666666666666663;-4059.4088131257927
-0.15656565656565652;-4007.5777126564367
-0.1464646464646464;-3945.6122682402156
-0.13636363636363635;-3871.854122055199
-0.12626262626262624;-3784.371503974708
-0.11616161616161613;-3680.8993622360144
-0.10606060606060602;-3558.7547602733457
-0.09595959595959591;-3414.716744274259
-0.0858585858585858;-3244.861652225331
-0.07575757575757575;-3044.358575032104
-0.06565656565656564;-2807.2715521800355
-0.055555555555555525;-2526.510657876671
-0.045454545454545414;-2194.2450539276756
-0.035353535353535304;-1803.2970007726935
-0.025252525252525193;-1350.0444521115476
-0.015151515151515138;-838.6621270515965
-0.0050505050505050275;-284.7975277676987
0.005050505050505083;284.79769842434933
0.015151515151515249;838.6663412372608
0.025252525252525304;1350.0609018782375
0.03535353535353536;1803.332543325147
0.045454545454545525;2194.3013898644153
0.05555555555555558;2526.5841805607038
0.06565656565656575;2807.355373970526
0.0757575757575758;3044.4448109429636
0.08585858585858586;3244.9430131560434
0.09595959595959602;3414.7873285212045
0.10606060606060608;3558.810269023027
0.11616161616161624;3680.9369940611355
0.1262626262626263;3784.389710867469
0.13636363636363646;3871.8523330057897
0.14646464646464652;3945.590632628634
0.15656565656565657;4007.5368840527217
0.16666666666666674;4059.3497775228147
0.1767676767676768;4102.458225193062
0.18686868686868696;4138.094940708044
0.19696969696969702;4167.323456529173
0.20707070707070718;4191.060731755355
0.21717171717171724;4210.096572296124
0.2272727272727273;4225.110553865457
0.23737373737373746;4236.686854557149
0.24747474747474751;4245.327261821736
0.2575757575757577;4251.462551938353
0.26767676767676774;4255.462409887013
0.2777777777777778;4257.644042982953
0.28787878787878796;4258.279632358807
0.297979797979798;4257.6027578181065
0.3080808080808082;4255.813922172897
0.31818181818181823;4253.085290750393
0.3282828282828284;4249.564750681712
0.33838383838383845;4245.379383367328
0.3484848484848485;4240.638432589832
0.3585858585858587;4235.435840437786
0.36868686868686873;4229.8524137181375
0.3787878787878789;4223.957674970539
0.38888888888888895;4217.81144458167
0.3989898989898991;4211.465193805942
0.40909090909090917;4204.963202673618
0.4191919191919192;4198.343551732971
0.4292929292929294;4191.638972247399
0.43939393939393945;4184.8775757677195
0.4494949494949496;4178.083480845107
0.45959595959595967;4171.277351967238
0.4696969696969697;4164.4768635231985
0.4797979797979799;4157.697099672507
0.48989898989898994;4150.9508993588815
0.5;4144.249154325467
